series,time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
152,0.57,-0.298096,-0.592773,0.921631,-8.870229,29.656489,-39.923664
152,0.576,-0.308594,-0.569336,0.856445,-16.40458,28.328244,-39.916031
152,0.582,-0.304932,-0.557129,0.823242,-20.015267,24.854962,-39.763359
152,0.588,-0.314697,-0.525391,0.812012,-17.122137,23.099237,-39.946565
152,0.598,-0.301025,-0.449951,0.765381,-12.732824,21.709924,-40.48855
152,0.604,-0.317139,-0.409424,0.733154,-13.78626,28.862595,-40.40458
152,0.609,-0.326416,-0.360107,0.719238,-18.0,34.717557,-40.839695
152,0.615,-0.331055,-0.331055,0.753418,-19.564885,41.381679,-40.877863
152,0.62,-0.357666,-0.289307,0.712891,-21.29771,45.458015,-41.366412
152,0.632,-0.381348,-0.255127,0.745605,-18.427481,45.908397,-40.778626
152,0.637,-0.383301,-0.219238,0.784912,-17.671756,47.251908,-40.358779
152,0.643,-0.407715,-0.199707,0.78833,-16.900763,48.885496,-40.335878
152,0.648,-0.431152,-0.171631,0.795166,-16.992366,47.145038,-40.465649
152,0.654,-0.43042,-0.1521,0.786865,-15.091603,49.480916,-40.030534
152,0.659,-0.412354,-0.151123,0.806396,-12.137405,53.824427,-39.664122
152,0.671,-0.452393,-0.108643,0.786865,-11.0,48.076336,-39.59542
152,0.676,-0.432861,-0.119141,0.822021,-5.137405,52.717557,-39.519084
152,0.682,-0.476807,-0.093506,0.811035,-5.519084,51.633588,-40.0
152,0.687,-0.48584,-0.09375,0.82373,-5.0,51.167939,-39.80916
152,0.693,-0.479492,-0.094482,0.838867,-0.015267,50.496183,-39.534351
152,0.698,-0.505615,-0.070801,0.836426,2.10687,47.335878,-39.763359
152,0.704,-0.505859,-0.056885,0.870605,2.40458,46.083969,-40.061069
152,0.715,-0.520996,-0.022949,0.838135,4.977099,39.198473,-40.541985
152,0.721,-0.498047,0.023682,0.787598,1.847328,36.099237,-41.022901
152,0.726,-0.452148,-0.008789,0.831299,-0.549618,41.587786,-41.366412
152,0.732,-0.473145,-0.036621,0.853516,-2.908397,41.015267,-41.770992
152,0.737,-0.487549,-0.046631,0.856445,-4.160305,38.015267,-41.572519
152,0.742,-0.481689,-0.040039,0.848145,-2.351145,37.129771,-41.832061
152,0.748,-0.468506,-0.067383,0.862061,-1.282443,37.519084,-42.381679
152,0.754,-0.484375,-0.066162,0.86084,-1.427481,34.847328,-43.152672
152,0.76,-0.469727,-0.048584,0.854004,-0.389313,33.175573,-43.290076
152,0.765,-0.435303,-0.017822,0.866455,2.152672,35.89313,-43.137405
152,0.771,-0.453125,0.005615,0.849121,1.099237,32.030534,-43.648855
152,0.781,-0.433105,0.043701,0.827393,-1.290076,28.061069,-43.694656
152,0.787,-0.404053,0.051758,0.81543,-5.687023,33.045802,-43.068702
152,0.792,-0.411865,0.05835,0.802002,-6.572519,28.59542,-41.816794
152,0.799,-0.392578,0.074463,0.812988,-8.29771,26.358779,-40.274809
152,0.804,-0.375244,0.075684,0.807373,-10.694656,28.603053,-38.70229
152,0.81,-0.36792,0.080078,0.792725,-13.870229,29.091603,-37.099237
152,0.815,-0.354248,0.072266,0.781494,-17.358779,27.48855,-35.381679
152,0.82,-0.343018,0.058594,0.79248,-19.167939,26.763359,-33.366412
152,0.826,-0.339111,0.03833,0.780518,-18.427481,23.961832,-31.40458
152,0.838,-0.313232,-0.006348,0.785645,-13.175573,24.045802,-27.679389
152,0.843,-0.306641,-0.033203,0.781738,-8.236641,24.694656,-26.717557
152,0.849,-0.315674,-0.041748,0.768311,-5.167939,23.343511,-26.076336
152,0.854,-0.318359,-0.063232,0.775391,-2.259542,20.854962,-25.977099
152,0.859,-0.324463,-0.073486,0.793701,1.496183,21.152672,-26.19084
152,0.865,-0.323242,-0.080566,0.806641,2.801527,23.870229,-27.038168
152,0.87,-0.352539,-0.078857,0.794922,6.793893,18.534351,-28.305344
152,0.882,-0.36499,-0.064697,0.8125,4.656489,18.694656,-31.923664
152,0.888,-0.382812,-0.068848,0.825195,2.839695,19.992366,-34.244275
152,0.893,-0.396729,-0.059814,0.818604,2.061069,14.832061,-36.572519
