series,time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class
130,0.339,-0.641602,-1.097656,-0.072021,29.183206,22.198473,60.274809,4
130,0.344,-0.587158,-1.088135,-0.092041,26.282443,27.450382,62.641221,4
130,0.355,-0.493896,-1.078613,-0.087158,21.038168,29.961832,66.389313,4
130,0.361,-0.472412,-1.068604,-0.075195,18.839695,28.145038,67.961832,4
130,0.366,-0.441406,-1.076904,-0.091553,16.267176,26.862595,69.557252,4
130,0.372,-0.394531,-1.079834,-0.077637,13.89313,24.541985,70.732824,4
130,0.378,-0.368652,-1.089844,-0.087891,10.984733,19.641221,71.664122,4
130,0.383,-0.345703,-1.082764,-0.088867,9.19084,14.19084,72.274809,4
130,0.394,-0.326172,-1.072754,-0.084229,5.519084,5.129771,72.343511,4
130,0.4,-0.320801,-1.063965,-0.092041,3.259542,1.923664,72.206107,4
130,0.405,-0.302734,-1.066895,-0.104736,0.763359,-0.343511,71.969466,4
130,0.41,-0.286621,-1.067383,-0.093262,-1.541985,-1.534351,71.633588,4
130,0.417,-0.266602,-1.067383,-0.081055,-3.778626,-2.763359,71.40458,4
130,0.422,-0.254639,-1.067627,-0.066895,-6.251908,-3.229008,71.236641,4
130,0.428,-0.243408,-1.06958,-0.061523,-8.244275,-3.526718,70.977099,4
130,0.439,-0.224609,-1.069824,-0.030273,-12.076336,-2.480916,70.717557,4
130,0.444,-0.220947,-1.057129,-0.02832,-13.366412,-1.251908,71.061069,4
130,0.449,-0.220703,-1.053955,-0.030518,-14.381679,1.145038,71.175573,4
130,0.456,-0.217285,-1.056152,-0.030029,-16.076336,3.847328,71.312977,4
130,0.461,-0.226318,-1.048828,-0.013916,-17.221374,7.419847,71.473282,4
130,0.467,-0.220215,-1.029541,-0.022461,-18.458015,11.48855,71.862595,4
130,0.472,-0.204834,-1.027832,-0.010254,-19.328244,15.725191,72.343511,4
130,0.483,-0.178223,-1.021729,-0.015625,-20.816794,21.977099,72.801527,4
130,0.488,-0.166748,-1.016602,-0.012939,-21.122137,24.21374,72.885496,4
130,0.494,-0.156494,-1.010254,-0.00415,-21.259542,25.824427,72.687023,4
130,0.5,-0.150879,-1.007324,-0.000732,-20.740458,26.885496,72.320611,4
130,0.506,-0.13501,-0.996582,0.000244,-19.618321,27.435115,71.931298,4
130,0.511,-0.126221,-0.998047,0.014648,-18.480916,27.732824,71.267176,4
130,0.517,-0.099365,-0.994629,0.018066,-16.572519,28.335878,70.70229,4
130,0.522,-0.071533,-0.999268,0.00708,-15.900763,28.328244,70.099237,4
130,0.527,-0.05835,-1.007324,-0.021484,-16.465649,27.328244,69.099237,4
130,0.538,-0.07251,-0.996582,0.026367,-17.068702,21.40458,67.389313,4
130,0.545,-0.05835,-1.004883,0.013184,-16.541985,17.709924,66.969466,4
130,0.55,-0.051025,-0.999756,0.019043,-16.51145,17.740458,65.78626,4
130,0.556,-0.047852,-0.999023,0.027588,-16.641221,17.587786,64.862595,4
130,0.561,-0.046875,-0.976807,0.031738,-16.045802,17.89313,63.679389,4
130,0.566,-0.065918,-0.979004,0.011963,-16.038168,18.862595,62.625954,4
130,0.572,-0.079834,-0.981934,-0.011719,-17.053435,20.519084,61.984733,4
130,0.584,-0.11499,-0.98999,0.008545,-17.862595,21.328244,61.503817,4
130,0.589,-0.12207,-0.983398,0.034912,-15.954198,23.633588,61.419847,4
130,0.594,-0.060059,-0.960693,0.013672,-15.19084,18.946565,60.740458,4
130,0.6,-0.019287,-0.957275,0.060547,-14.732824,23.748092,59.862595,4
130,0.605,-0.001953,-0.932861,0.040771,-12.091603,19.534351,58.89313,4
130,0.611,0.034668,-0.919434,0.051514,-10.267176,18.656489,57.282443,4
130,0.616,0.056641,-0.896484,0.059326,-8.145038,16.335878,55.061069,4
130,0.622,0.072266,-0.883301,0.027588,-6.183206,11.519084,52.480916,4
130,0.628,0.094238,-0.855225,-0.016846,-4.816794,8.641221,50.290076,4
130,0.633,0.068848,-0.800293,0.051758,-2.160305,7.618321,45.167939,4
130,0.639,0.064209,-0.835449,0.025391,-2.068702,7.282443,43.19084,4
130,0.65,0.014648,-0.833496,0.030762,-2.458015,9.427481,40.091603,4
130,0.655,-0.017334,-0.821289,0.041016,-2.656489,11.763359,38.320611,4
130,0.661,-0.053223,-0.815674,0.022949,-3.221374,15.557252,36.458015,4
131,0.186,0.089111,-1.232178,-0.022705,16.648855,-18.717557,14.030534,4
131,0.191,0.092041,-1.219727,-0.052002,19.473282,-23.938931,13.740458,4
131,0.197,0.060547,-1.140137,-0.038086,20.175573,-28.793893,12.51145,4
131,0.203,0.034912,-1.200684,-0.031982,11.923664,-33.931298,11.343511,4
131,0.208,0.010742,-1.19043,-0.07959,12.21374,-38.755725,9.694656,4
131,0.219,-0.1521,-1.080322,-0.133545,12.801527,-32.427481,8.366412,4
131,0.224,0.125244,-1.436523,1.062988,-66.312977,-12.938931,1.221374,4
131,0.23,0.132812,-1.5,1.062744,-61.908397,7.824427,0.022901,4
131,0.235,-0.431885,-1.154541,-0.127197,-8.099237,23.29771,13.206107,4
131,0.241,-0.401611,-1.074219,-0.162354,-6.435115,33.70229,13.679389,4
131,0.247,-0.37793,-1.099121,-0.223877,-16.618321,41.083969,13.526718,4
131,0.258,-0.311279,-1.047363,-0.206055,-18.267176,49.48855,10.549618,4
131,0.264,-0.297363,-0.981689,-0.236572,-15.10687,53.427481,9.244275,4
131,0.269,-0.328125,-1.000732,-0.171875,-20.900763,58.732824,8.21374,4
131,0.274,-0.320068,-0.945312,-0.216309,-19.076336,59.389313,8.099237,4
131,0.28,-0.32666,-0.970459,-0.209229,-24.473282,58.648855,8.152672,4
131,0.286,-0.317871,-0.970947,-0.229492,-26.0,56.862595,9.366412,4
131,0.292,-0.32373,-0.976562,-0.217529,-27.648855,53.885496,11.343511,4
131,0.297,-0.315918,-1.008057,-0.209717,-33.114504,50.328244,13.885496,4
131,0.308,-0.283447,-1.010498,-0.200684,-33.900763,33.839695,19.709924,4
131,0.313,-0.283691,-1.010498,-0.168701,-33.152672,23.183206,23.061069,4
131,0.319,-0.282471,-1.002197,-0.165039,-31.862595,10.763359,25.847328,4
131,0.324,-0.276611,-0.991943,-0.142334,-29.801527,0.206107,28.679389,4
131,0.33,-0.280762,-0.988281,0.767578,-62.519084,-54.473282,7.89313,4
131,0.336,-0.296875,-1.242188,0.697021,-62.534351,-44.183206,32.778626,4
131,0.341,0.000244,-0.983398,0.751465,-50.061069,-31.251908,31.267176,4
131,0.352,-0.293701,-1.006592,-0.03418,-37.51145,-24.572519,37.603053,4
131,0.358,-0.284912,-1.014893,-0.013916,-34.381679,-29.503817,39.145038,4
131,0.363,-0.294189,-1.060303,0.010498,-35.343511,-30.549618,40.030534,4
131,0.369,-0.281982,-1.051514,0.055908,-33.435115,-32.709924,41.21374,4
131,0.375,-0.27124,-1.033203,0.078857,-28.709924,-30.229008,42.290076,4
131,0.386,-0.258301,-1.050049,0.057617,-30.48855,-27.587786,44.259542,4
131,0.391,-0.253418,-1.022705,0.124756,-26.229008,-23.824427,45.068702,4
131,0.397,-0.260254,-1.040283,0.113525,-30.839695,-21.877863,46.29771,4
131,0.402,-0.232666,-1.07251,0.086426,-32.748092,-20.221374,48.175573,4
131,0.408,-0.224609,-0.998779,0.132568,-29.053435,-15.625954,49.099237,4
131,0.414,-0.199951,-1.016846,0.131836,-32.519084,-14.51145,50.244275,4
131,0.425,-0.173584,-1.033203,0.132324,-32.435115,-7.007634,51.656489,4
131,0.43,-0.146729,-1.026123,0.133545,-26.732824,-4.450382,52.267176,4
131,0.436,-0.123535,-1.074951,0.153809,-28.908397,-1.152672,52.580153,4
131,0.441,-0.106445,-1.073486,0.164551,-30.923664,1.78626,52.709924,4
131,0.447,-0.087891,-1.082764,0.172607,-23.053435,3.045802,52.534351,4
131,0.452,-0.086182,-1.07666,0.171387,-22.847328,6.877863,51.816794,4
131,0.464,-0.087891,-1.052002,0.14624,-15.885496,11.564885,50.832061,4
131,0.469,-0.075439,-1.081299,0.141602,-20.59542,14.358779,50.458015,4
131,0.475,-0.055664,-1.016602,0.10083,-10.442748,16.557252,50.419847,4
131,0.48,-0.056641,-1.033203,0.120117,-18.603053,20.061069,50.053435,4
131,0.486,-0.019043,-1.009521,0.062988,-13.961832,21.076336,50.10687,4
131,0.491,-0.015381,-0.993408,0.066895,-15.900763,23.022901,49.793893,4
131,0.497,0.006836,-1.034912,0.022217,-17.320611,21.694656,49.480916,4
131,0.508,0.053955,-0.98877,0.029297,-13.175573,18.580153,48.442748,4
131,0.514,0.095703,-1.018555,0.006836,-14.419847,16.557252,48.015267,4
131,0.519,0.110596,-0.990479,0.006592,-12.633588,13.725191,47.0,4
131,0.525,0.161621,-1.030518,-0.007568,-13.351145,10.778626,45.885496,4
131,0.53,0.167236,-1.008789,-0.020264,-14.793893,7.229008,44.587786,4
131,0.535,0.184082,-0.993408,-0.001709,-11.534351,4.022901,42.870229,4
131,0.542,0.189209,-0.989258,-0.054932,-14.534351,1.038168,40.877863,4
131,0.547,0.19458,-0.970215,-0.064209,-14.900763,-4.198473,39.221374,4
131,0.553,0.175537,-0.989502,-0.068115,-14.053435,-6.419847,37.083969,4
131,0.558,0.162354,-0.964844,-0.049072,-13.992366,-7.175573,35.335878,4
131,0.569,0.134766,-0.929688,-0.01416,-11.671756,-6.832061,31.618321,4
131,0.574,0.122803,-0.976318,-0.073975,-19.061069,-7.030534,30.343511,4
131,0.58,0.098633,-0.968994,-0.028564,-14.916031,-2.412214,28.778626,4
131,0.586,0.071777,-0.932861,-0.009521,-14.816794,2.282443,27.167939,4
132,0.485,-0.052979,-1.179688,-0.010254,21.389313,-38.381679,16.435115,4
132,0.49,-0.090332,-1.212646,0.018066,19.427481,-40.412214,17.648855,4
132,0.497,-0.145752,-1.153076,0.032715,27.351145,-42.954198,17.725191,4
132,0.502,-0.123535,-1.212646,-0.028809,15.587786,-46.412214,17.877863,4
132,0.513,-0.320068,-1.168701,-0.11377,10.900763,-42.603053,18.709924,4
132,0.518,-0.44165,-1.0979,-0.151123,7.114504,-27.167939,21.091603,4
132,0.524,-0.542969,-1.091064,-0.136963,6.679389,-14.40458,24.343511,4
132,0.529,-0.603027,-1.047607,-0.142334,-0.29771,3.274809,26.534351,4
132,0.535,-0.55249,-1.064941,-0.216309,-2.557252,12.625954,28.549618,4
132,0.546,-0.42334,-1.054688,-0.226807,-9.916031,21.381679,27.435115,4
132,0.552,-0.393555,-1.040771,-0.188232,-12.603053,26.641221,25.648855,4
132,0.557,-0.37915,-0.997803,-0.1875,-8.648855,31.328244,24.618321,4
132,0.563,-0.383545,-1.007324,-0.158691,-14.923664,39.80916,24.160305,4
132,0.568,-0.370361,-0.991943,-0.179932,-12.145038,40.80916,23.992366,4
132,0.574,-0.351318,-1.008545,-0.209473,-19.167939,42.358779,24.549618,4
132,0.579,-0.325195,-1.033203,-0.224609,-21.564885,40.656489,25.480916,4
132,0.585,-0.298096,-1.030273,-0.235596,-24.694656,36.709924,27.129771,4
132,0.596,-0.268311,-1.068359,-0.188477,-29.740458,24.427481,31.984733,4
132,0.602,-0.27002,-1.041504,-0.186035,-30.29771,16.503817,34.641221,4
132,0.607,-0.257568,-1.056885,-0.175293,-33.129771,6.091603,37.328244,4
132,0.613,-0.255127,-1.022705,-0.142822,-33.083969,-1.78626,39.816794,4
132,0.618,-0.283203,-1.039551,-0.135254,-36.908397,-9.916031,41.900763,4
132,0.624,-0.282471,-0.995605,-0.147705,-32.526718,-15.717557,44.305344,4
132,0.635,-0.309814,-0.999512,-0.075439,-31.221374,-24.175573,48.458015,4
132,0.641,-0.311768,-1.008057,-0.072266,-28.694656,-25.465649,50.137405,4
132,0.646,-0.300293,-1.036621,-0.057373,-27.244275,-27.335878,51.48855,4
132,0.652,-0.292236,-1.047607,-0.03418,-32.633588,-25.022901,52.954198,4
132,0.657,-0.263184,-1.075195,-0.031006,-35.564885,-23.572519,53.335878,4
132,0.669,-0.265137,-1.064209,0.005615,-30.938931,-17.916031,54.389313,4
132,0.674,-0.252197,-1.102295,0.049316,-30.40458,-15.343511,55.145038,4
132,0.68,-0.214111,-1.093506,0.044189,-31.183206,-12.80916,55.610687,4
132,0.685,-0.198975,-1.103271,0.039062,-32.122137,-12.145038,56.122137,4
132,0.691,-0.191406,-1.110596,0.055908,-31.816794,-9.19084,56.89313,4
132,0.696,-0.162598,-1.104736,0.06958,-31.030534,-7.396947,57.954198,4
132,0.701,-0.144287,-1.093262,0.055908,-31.083969,-7.068702,58.458015,4
132,0.713,-0.105713,-1.04126,0.060547,-31.519084,-7.984733,59.465649,4
132,0.719,-0.100342,-1.029785,0.061035,-30.038168,-8.129771,60.061069,4
132,0.724,-0.091309,-1.018555,0.066406,-30.015267,-8.122137,60.10687,4
132,0.73,-0.098145,-1.026611,0.053467,-32.740458,-7.10687,60.51145,4
132,0.735,-0.07959,-1.071777,0.064453,-35.587786,-5.900763,60.938931,4
132,0.74,-0.069092,-1.040771,0.058594,-28.015267,-4.503817,61.183206,4
132,0.752,-0.020264,-1.063232,0.034668,-28.335878,-0.435115,60.450382,4
132,0.758,-0.011963,-1.074951,0.065674,-28.473282,3.083969,59.648855,4
132,0.763,0.013428,-1.12085,0.07251,-31.145038,4.847328,58.870229,4
132,0.769,0.017334,-1.072021,0.057617,-28.885496,7.343511,57.801527,4
132,0.774,0.023193,-1.064209,0.036377,-26.320611,7.984733,56.59542,4
132,0.779,0.053955,-1.076904,0.034424,-26.885496,10.282443,56.030534,4
132,0.785,0.055176,-1.008301,0.018066,-26.503817,10.908397,54.48855,4
132,0.79,0.106201,-1.0271,-0.015137,-29.732824,10.160305,53.419847,4
132,0.797,0.118164,-1.040283,-0.012939,-29.534351,13.78626,52.267176,4
132,0.807,0.171631,-0.965088,-0.02002,-29.870229,14.625954,49.664122,4
132,0.813,0.17627,-0.971191,0.005371,-30.396947,16.396947,47.870229,4
132,0.818,0.203613,-0.980225,0.000732,-31.519084,16.328244,46.374046,4
132,0.824,0.218506,-0.94458,-0.010986,-30.534351,17.076336,44.175573,4
132,0.829,0.223389,-0.950439,-0.027344,-32.480916,17.839695,42.312977,4
132,0.835,0.204346,-0.927246,-0.029297,-27.839695,19.099237,40.503817,4
